Latitude,Longitude,Radius,Volume,Density,Mass,Velocity,Radiated Energy,Impact Energy
1.3,147.6,0.0346219626268717,0.0001738375765911,1373985.5285768942,109,44.8,31000000000.0,0.11
16.8,76.0,0.0270680798719178,8.307320331802028e-05,995824.3739227032,79,46.4,24000000000.0,0.086
38.6,103.1,0.0566541206621536,0.0007616985324416,1878200.4014491488,149,49.0,56000000000.0,0.18
34.7,141.0,0.0239206287240204,5.733322616205377e-05,2697549.5698665627,214,26.6,21000000000.0,0.076
18.3,64.2,0.0692439252537434,0.0013907006127295,6630425.578270149,526,28.9,68000000000.0,0.22
33.1,34.3,0.0308450212493947,0.0001229260228302,3290002.045491462,261,27.4,28000000000.0,0.098
12.0,162.8,0.346219626268717,0.1738375765911885,42303627.83398217,3356,25.6,433000000000.0,1.1
7.9,109.9,0.1794047154301533,0.0241874547871164,27164576.27599272,2155,23.0,203000000000.0,0.57
6.2,60.4,0.2486486406838967,0.0643942185762156,33996687.803411774,2697,24.2,295000000000.0,0.79
26.0,133.5,0.0629490229579485,0.0010448539539665,9201921.429918649,730,23.4,64000000000.0,0.2
5.4,56.4,0.0660964741058459,0.0012095490584605,11445677.614200182,908,21.5,65000000000.0,0.21
40.1,87.4,0.0629490229579485,0.0010448539539665,7865752.016807173,624,25.3,64000000000.0,0.2
69.7,164.7,0.0660964741058459,0.0012095490584605,13096981.322856816,1039,20.1,65000000000.0,0.21
6.8,119.1,0.0270680798719178,8.307320331802028e-05,4096745.8420870695,325,23.0,24000000000.0,0.086
6.3,124.1,0.0692439252537434,0.0013907006127295,5445520.627020351,432,31.9,71000000000.0,0.22
10.8,0.7,0.0472117672184614,0.0004407977618296,11533915.216952829,915,18.1,46000000000.0,0.15
22.0,29.2,5.665412066215369,761.6985324416318,440393875.33844906,34937,32.1,10000000000000.0,18.0
30.4,1.5,0.0472117672184614,0.0004407977618296,9643109.443681872,765,19.8,44000000000.0,0.15
33.3,135.1,0.0289565505606563,0.0001017019044632,6025367.730823444,478,19.6,26000000000.0,0.092
9.1,101.8,0.0881286321411279,0.0028670792496842,20849284.993267734,1654,18.4,90000000000.0,0.28
21.2,23.3,0.3084502124939478,0.1229260228302133,86498061.44123529,6862,16.9,375000000000.0,0.98
51.7,56.4,0.5665412066215368,0.7616985324416314,129759697.53367476,10294,18.7,740000000000.0,1.8
3.5,44.6,0.0755388275495382,0.0018055076324542,18063497.820648525,1433,18.3,76000000000.0,0.24
36.9,87.3,0.7553882754953825,1.8055076324542376,167601023.74273747,13296,19.0,1050000000000.0,2.4
15.9,88.1,0.0566541206621536,0.0007616985324416,14004568.094026877,1111,18.0,55000000000.0,0.18
4.2,120.6,10.386588788061507,4693.61456796209,2256815349.488925,179036,19.2,20000000000000.0,33.0
19.2,89.4,0.0503592183663588,0.0005349652244308,16147481.303733958,1281,15.8,49000000000.0,0.16
25.5,51.5,0.1542251062469739,0.0153657528537766,33505078.302361324,2658,19.2,173000000000.0,0.49
29.4,75.9,0.0280123152162871,9.20737058842326e-05,4462301.624919455,354,22.4,25000000000.0,0.089
2.9,64.4,0.0755388275495382,0.0018055076324542,23042619.69026204,1828,16.2,78000000000.0,0.24
26.2,26.0,4.406431607056398,358.38490621053444,1396107956.1241643,110755,15.9,7410000000000.0,14.0
26.3,43.7,0.0409168649226665,0.000286943017108,10109508.201088706,802,18.0,39000000000.0,0.13
31.1,140.0,0.0229763933796512,5.080824382627678e-05,5609390.460703834,445,18.1,20000000000.0,0.073
28.2,76.7,0.0299007859050255,0.0001119789573477,2382415.274321404,189,31.7,27000000000.0,0.095
25.7,56.2,0.1353403993595893,0.0103841504147525,23445991.588559844,1860,21.5,150000000000.0,0.43
88.5,116.6,0.0346219626268717,0.0001738375765911,8180886.312352332,649,18.4,33000000000.0,0.11
5.9,160.4,0.1070133390285125,0.0051333674758377,27668791.148864977,2195,17.6,114000000000.0,0.34
86.7,162.1,0.0472117672184614,0.0004407977618296,8029621.850490657,637,21.7,44000000000.0,0.15
54.8,61.1,138.4878505074868,11125604.90183607,32063603613.05048,2543646,18.6,375000000000000.0,440.0
63.7,95.7,0.0472117672184614,0.0004407977618296,18227367.65433201,1446,14.4,46000000000.0,0.15
1.8,176.9,0.6294902295794854,1.0448539539665729,142654992.90738267,11317,18.8,844000000000.0,2.0
48.7,74.0,0.0723913764016408,0.0015890922572389,17307175.51134014,1373,18.3,75000000000.0,0.23
44.3,122.9,0.1794047154301533,0.0241874547871164,72279202.02623771,5734,14.1,206000000000.0,0.57
22.0,149.0,0.5035921836635884,0.5349652244308855,176903788.14723057,14034,15.1,655000000000.0,1.6
45.4,53.5,0.0755388275495382,0.0018055076324542,33694158.87968842,2673,13.4,76000000000.0,0.24
28.7,121.5,0.0409168649226665,0.000286943017108,12328053.641726628,978,16.3,39000000000.0,0.13
15.5,25.3,1.3219294821169194,9.676392467684432,244733293.92037064,19415,20.8,1958000000000.0,4.2
42.3,92.9,0.0629490229579485,0.0010448539539665,18744187.89902607,1487,16.4,62000000000.0,0.2
23.6,132.8,0.0346219626268717,0.0001738375765911,12000313.97435966,952,15.2,33000000000.0,0.11
39.1,40.2,0.0409168649226665,0.000286943017108,5634601.204347447,447,24.1,37000000000.0,0.13
52.0,57.2,0.1762572642822559,0.0229366339974742,25122506.04086009,1993,23.7,199000000000.0,0.56
43.1,115.8,0.1416353016553842,0.0119015395694004,44307881.95364938,3515,16.0,156000000000.0,0.45
18.5,180.0,0.0440643160705639,0.0003583849062105,18529896.57805536,1470,13.8,41000000000.0,0.14
44.3,83.3,0.4721176721846141,0.440797761829648,142327253.2400157,11291,16.3,624000000000.0,1.5
14.5,98.9,1.2275059476799963,7.747461461917892,222951211.41228923,17687,21.0,1798000000000.0,3.9
42.4,98.4,0.0409168649226665,0.000286943017108,15164262.30163306,1203,14.7,37000000000.0,0.13
17.4,138.3,0.2738282498670761,0.0860049329061062,104309451.8254477,8275,14.5,331000000000.0,0.87
2.5,139.8,0.0944235344369228,0.0035263820946371,54316547.18016364,4309,11.8,99000000000.0,0.3
11.8,117.0,0.214026678057025,0.0410669398067021,106288495.2014713,8432,12.7,249000000000.0,0.68
42.5,110.0,0.7239137640164082,1.589092257238911,100666499.36894566,7986,24.0,965000000000.0,2.3
20.0,165.9,0.0270680798719178,8.307320331802028e-05,4512723.11220668,358,21.9,24000000000.0,0.086
43.7,53.8,0.1636674596906662,0.0183643530949164,59043561.61334103,4684,14.9,184000000000.0,0.52
45.7,15.1,0.1070133390285125,0.0051333674758377,18542501.949877165,1471,21.5,115000000000.0,0.34
6.3,29.9,0.0229763933796512,5.080824382627678e-05,7096824.335676985,563,16.1,20000000000.0,0.073
15.2,80.3,0.1258980459158971,0.0083588316317325,33303392.353212424,2642,17.4,138000000000.0,0.4
44.7,35.3,0.0723913764016408,0.0015890922572389,37702667.119022846,2991,12.4,75000000000.0,0.23
47.7,161.7,0.0409168649226665,0.000286943017108,10336404.893881222,820,17.8,39000000000.0,0.13
4.1,14.0,1.510776550990765,14.4440610596339,899305041.8831317,71343,11.6,2280000000000.0,4.8
28.8,44.6,0.0270680798719178,8.307320331802028e-05,7764909.042232723,616,16.7,24000000000.0,0.086
74.9,73.4,0.1038658878806151,0.004693614567962,43047344.77146874,3415,13.9,110000000000.0,0.33
35.1,33.4,0.0723913764016408,0.0015890922572389,19828249.875701416,1573,17.1,74000000000.0,0.23
8.0,119.1,0.0723913764016408,0.0015890922572389,14634836.685117193,1161,19.9,72000000000.0,0.23
7.7,74.3,0.3084502124939478,0.1229260228302133,64312607.03485609,5102,19.6,378000000000.0,0.98
5.9,143.0,0.0818337298453331,0.0022955441368645,44761675.33923441,3551,12.1,83000000000.0,0.26
32.8,15.1,0.0229763933796512,5.080824382627678e-05,4248010.303948746,337,20.8,20000000000.0,0.073
14.0,109.1,0.8812863214112795,2.867079249684275,350076386.2352064,27772,14.2,1230000000000.0,2.8
34.3,134.5,0.0912760832890253,0.0031853678854113,31639483.272733983,2510,15.2,94000000000.0,0.29
75.8,163.7,0.0289565505606563,0.0001017019044632,8407783.005144848,667,16.6,26000000000.0,0.092
1.7,141.4,0.0270680798719178,8.307320331802028e-05,8357361.517857621,663,16.1,24000000000.0,0.086
33.8,117.4,0.0849811809932305,0.0025707325469905,23546834.56313429,1868,17.0,88000000000.0,0.27
45.5,1.4,0.0314745114789742,0.0001306067442458,14685258.172404418,1165,13.1,30000000000.0,0.1
29.5,13.5,0.0660964741058459,0.0012095490584605,35559753.909315765,2821,12.2,65000000000.0,0.21
22.2,72.6,0.4091686492266655,0.2869430171080701,275843351.57658875,21883,10.9,512000000000.0,1.3
53.9,148.0,0.1258980459158971,0.0083588316317325,22424956.47099353,1779,21.2,137000000000.0,0.4
28.0,35.8,0.0289565505606563,0.0001017019044632,5155597.075118804,409,21.2,26000000000.0,0.092
28.1,99.4,0.169962361986461,0.020565860375924,63858813.649271056,5066,14.6,192000000000.0,0.54
64.5,136.2,0.4091686492266655,0.2869430171080701,81115567.67332397,6435,20.1,518000000000.0,1.3
69.7,115.0,0.0229763933796512,5.080824382627678e-05,3794216.918363717,301,22.0,20000000000.0,0.073
50.2,90.2,0.3147451147897427,0.1306067442458216,71321193.76778042,5658,18.8,390000000000.0,1.0
38.8,137.5,0.5035921836635884,0.5349652244308855,304999576.60042685,24196,11.5,656000000000.0,1.6
81.1,141.1,0.0409168649226665,0.000286943017108,6025367.730823444,478,23.3,39000000000.0,0.13
19.4,104.3,0.1668149108385636,0.0194443402630851,49072712.502292186,3893,16.5,190000000000.0,0.53
65.2,128.2,0.0346219626268717,0.0001738375765911,10966673.48497154,870,15.9,33000000000.0,0.11
38.6,68.0,0.1133082413243073,0.006093588259533,43160793.117865,3424,14.5,121000000000.0,0.36
56.5,147.6,0.0660964741058459,0.0012095490584605,10739776.792179026,852,22.2,65000000000.0,0.21
18.6,126.9,0.0440643160705639,0.0003583849062105,19361851.11829458,1536,13.5,42000000000.0,0.14
23.0,38.8,0.0314745114789742,0.0001306067442458,13626406.939372685,1081,13.6,32000000000.0,0.1
67.3,75.1,0.0818337298453331,0.0022955441368645,53194669.08802287,4220,11.1,83000000000.0,0.26
2.0,28.8,0.1290454970637945,0.0090015474201662,33744580.36697564,2677,17.5,139000000000.0,0.41
